model,mae,rmse,mape,r2
y_pred_7,0.05449437864086667,0.12420901331115451,428380730781.98535,-0.00830859461200073
y_pred_14,0.05464669017731348,0.1242187079101388,325183791761.02783,-0.008465999114219525
y_pred_28,0.05410474207355233,0.12399273827891763,187108928378.5925,-0.004800280480550034
y_pred_60,0.05355288215171282,0.12371064372284275,55415207965.91867,-0.0002334605610658791
naive_forecast,420065.391910786,2190520.484973803,2.628601684025048e+19,-297931133944313.2
