mape,rmse,mae,r2,model
950294278619504.9,0.28584705359730794,0.2110077176585856,0.0,y_pred_1
926783924193634.5,0.28561506012649046,0.20578737029844574,0.0,y_pred_2
922405463540363.9,0.28566332944491535,0.20481515673251047,0.0,y_pred_3
918199698541200.8,0.2827789493641539,0.20388128930486377,0.0,y_pred_4
964747127154046.0,0.30216287946255477,0.2142168947014791,0.0,y_pred_5
891338250122458.0,0.2815261535914806,0.19791684960300993,0.0,y_pred_6
939853374641872.8,0.28766458562771396,0.20868937125981207,0.0,y_pred_7
1017731448031930.2,0.28985536799724543,0.22598177729802998,0.0,y_pred_8
996668863767475.9,0.2885570288448735,0.22130494409632903,0.0,y_pred_9
927993709480298.8,0.2847129236423663,0.20605599659446722,0.0,ensemble_preds_2
920504812629850.6,0.28450557004635985,0.20439312745198515,0.0,ensemble_preds_3
915085475409856.6,0.28363507567510743,0.20318979286001607,0.0,ensemble_preds_4
923260151721245.1,0.28635300675983016,0.20500493563196834,0.0,ensemble_preds_5
910741556758639.2,0.28261600514442176,0.20222524915928003,0.0,ensemble_preds_6
908397042117474.1,0.28171020548824005,0.20170466233204157,0.0,ensemble_preds_7
906223157156744.9,0.2804423910830407,0.20122196290478397,0.0,ensemble_preds_8
907237042866354.0,0.2798945785530512,0.20144709075661327,0.0,ensemble_preds_9
