Stock	Model	MAPE	RMSE	MAE
AAPL	Final	0.2602599530109549	46.30300795401143	39.83013256722565
AAPL	ARIMA	0.16239232893702465	29.04332903679033	25.033649755564124
AAPL	GARCH	0.0990480903192421	19.61080965295895	15.529344720262356
GOOGL	Final	0.44352270446716296	55.79134200035825	45.97996004208979
GOOGL	ARIMA	0.12295802214392125	17.64771940830805	14.341162523525771
GOOGL	GARCH	0.8845089569818047	101.80826627019275	91.73145724170219
MSFT	Final	0.17481360034616902	72.52843163452731	46.28945393428144
MSFT	ARIMA	0.16033399850713562	47.16653725282045	41.23894865122257
MSFT	GARCH	0.21010363037262886	79.16955765068683	56.08471297534478
