19-Sep-2021 13:44:20 Time (Sec):  86
19-Sep-2021 13:44:25 Get IV Data
19-Sep-2021 13:44:25 Volt1 (V):  7.999653
19-Sep-2021 13:44:25 Volt2 (V):  8.01691
19-Sep-2021 13:44:25 Curr1 (A):  0.4389326
19-Sep-2021 13:44:25 Curr2 (A):  0.004144003
19-Sep-2021 13:44:25 Time (Sec):  90
19-Sep-2021 13:44:29 Get IV Data
19-Sep-2021 13:44:29 Volt1 (V):  7.999625
19-Sep-2021 13:44:29 Volt2 (V):  8.016926
19-Sep-2021 13:44:29 Curr1 (A):  0.4510051
19-Sep-2021 13:44:29 Curr2 (A):  0.004151001
19-Sep-2021 13:44:29 Time (Sec):  95
19-Sep-2021 13:44:34 Get IV Data
19-Sep-2021 13:44:34 Volt1 (V):  7.999714
19-Sep-2021 13:44:34 Volt2 (V):  8.016962
19-Sep-2021 13:44:34 Curr1 (A):  0.4668006
19-Sep-2021 13:44:34 Curr2 (A):  0.004142603
19-Sep-2021 13:44:34 Time (Sec):  99
19-Sep-2021 13:44:38 Get IV Data
19-Sep-2021 13:44:38 Volt1 (V):  7.999695
19-Sep-2021 13:44:38 Volt2 (V):  8.017052
19-Sep-2021 13:44:38 Curr1 (A):  0.4546965
19-Sep-2021 13:44:38 Curr2 (A):  0.004132607
19-Sep-2021 13:44:38 Time (Sec):  104
19-Sep-2021 13:44:43 Get IV Data
19-Sep-2021 13:44:43 Volt1 (V):  7.99963
19-Sep-2021 13:44:43 Volt2 (V):  8.016846
19-Sep-2021 13:44:43 Curr1 (A):  0.4598807
19-Sep-2021 13:44:43 Curr2 (A):  0.004194786
19-Sep-2021 13:44:43 Time (Sec):  108
19-Sep-2021 13:44:47 Get IV Data
19-Sep-2021 13:44:47 Volt1 (V):  7.999693
19-Sep-2021 13:44:47 Volt2 (V):  8.017178
19-Sep-2021 13:44:47 Curr1 (A):  0.4540817
19-Sep-2021 13:44:47 Curr2 (A):  0.004130607
19-Sep-2021 13:44:47 Time (Sec):  113
19-Sep-2021 13:44:52 Get IV Data
19-Sep-2021 13:44:52 Volt1 (V):  7.999729
19-Sep-2021 13:44:52 Volt2 (V):  8.017165
19-Sep-2021 13:44:52 Curr1 (A):  0.4555983
19-Sep-2021 13:44:52 Curr2 (A):  0.004157098
19-Sep-2021 13:44:52 Time (Sec):  117
19-Sep-2021 13:44:56 Get IV Data
19-Sep-2021 13:44:56 Volt1 (V):  7.999682
19-Sep-2021 13:44:56 Volt2 (V):  8.017117
19-Sep-2021 13:44:56 Curr1 (A):  0.4578773
19-Sep-2021 13:44:56 Curr2 (A):  0.004134406
19-Sep-2021 13:44:56 Time (Sec):  122
19-Sep-2021 13:45:01 Get IV Data
19-Sep-2021 13:45:01 Volt1 (V):  7.999679
19-Sep-2021 13:45:01 Volt2 (V):  8.017177
19-Sep-2021 13:45:01 Curr1 (A):  0.454858
19-Sep-2021 13:45:01 Curr2 (A):  0.004137005
19-Sep-2021 13:45:01 Time (Sec):  127
19-Sep-2021 13:45:06 Get IV Data
19-Sep-2021 13:45:06 Volt1 (V):  7.999625
19-Sep-2021 13:45:06 Volt2 (V):  8.017035
19-Sep-2021 13:45:06 Curr1 (A):  0.4344217
19-Sep-2021 13:45:06 Curr2 (A):  0.004173393
19-Sep-2021 13:45:06 Time (Sec):  131
19-Sep-2021 13:45:10 Get IV Data
19-Sep-2021 13:45:10 Volt1 (V):  7.999734
19-Sep-2021 13:45:10 Volt2 (V):  8.017242
19-Sep-2021 13:45:10 Curr1 (A):  0.458446
19-Sep-2021 13:45:10 Curr2 (A):  0.0041524
19-Sep-2021 13:45:10 Time (Sec):  136
19-Sep-2021 13:45:15 Get IV Data
19-Sep-2021 13:45:15 Volt1 (V):  7.999614
19-Sep-2021 13:45:15 Volt2 (V):  8.017159
19-Sep-2021 13:45:15 Curr1 (A):  0.4461855
19-Sep-2021 13:45:15 Curr2 (A):  0.004192487
19-Sep-2021 13:45:15 Time (Sec):  140
19-Sep-2021 13:45:19 Get IV Data
19-Sep-2021 13:45:19 Volt1 (V):  7.999704
19-Sep-2021 13:45:19 Volt2 (V):  8.01721
19-Sep-2021 13:45:19 Curr1 (A):  0.4672366
19-Sep-2021 13:45:19 Curr2 (A):  0.004170294
19-Sep-2021 13:45:19 Time (Sec):  145
19-Sep-2021 13:45:24 Get IV Data
19-Sep-2021 13:45:24 Volt1 (V):  7.999748
19-Sep-2021 13:45:24 Volt2 (V):  8.017123
19-Sep-2021 13:45:24 Curr1 (A):  0.442015
19-Sep-2021 13:45:24 Curr2 (A):  0.004158698
19-Sep-2021 13:45:24 Time (Sec):  149
19-Sep-2021 13:45:28 Get IV Data
19-Sep-2021 13:45:28 Volt1 (V):  7.999741
19-Sep-2021 13:45:28 Volt2 (V):  8.017205
19-Sep-2021 13:45:28 Curr1 (A):  0.4559639
19-Sep-2021 13:45:28 Curr2 (A):  0.0041525
19-Sep-2021 13:45:28 Time (Sec):  154
19-Sep-2021 13:45:33 Get IV Data
19-Sep-2021 13:45:33 Volt1 (V):  7.999611
19-Sep-2021 13:45:33 Volt2 (V):  8.017093
19-Sep-2021 13:45:33 Curr1 (A):  0.4580288
19-Sep-2021 13:45:33 Curr2 (A):  0.004189888
19-Sep-2021 13:45:33 Time (Sec):  158
19-Sep-2021 13:45:37 Get IV Data
19-Sep-2021 13:45:37 Volt1 (V):  7.999662
19-Sep-2021 13:45:37 Volt2 (V):  8.017222
19-Sep-2021 13:45:37 Curr1 (A):  0.4548496
19-Sep-2021 13:45:37 Curr2 (A):  0.004179591
19-Sep-2021 13:45:37 Time (Sec):  163
19-Sep-2021 13:45:42 Get IV Data
19-Sep-2021 13:45:42 Volt1 (V):  7.99963
19-Sep-2021 13:45:42 Volt2 (V):  8.017309
19-Sep-2021 13:45:42 Curr1 (A):  0.4499915
19-Sep-2021 13:45:42 Curr2 (A):  0.00418369
19-Sep-2021 13:45:42 Time (Sec):  167
19-Sep-2021 13:45:46 Get IV Data
19-Sep-2021 13:45:46 Volt1 (V):  7.999543
19-Sep-2021 13:45:46 Volt2 (V):  8.017129
19-Sep-2021 13:45:46 Curr1 (A):  0.4521126
19-Sep-2021 13:45:46 Curr2 (A):  0.004208182
19-Sep-2021 13:45:46 Time (Sec):  172
19-Sep-2021 13:45:51 Get IV Data
19-Sep-2021 13:45:51 Volt1 (V):  7.99961
19-Sep-2021 13:45:51 Volt2 (V):  8.017244
19-Sep-2021 13:45:51 Curr1 (A):  0.4497623
19-Sep-2021 13:45:51 Curr2 (A):  0.004192987
19-Sep-2021 13:45:51 Time (Sec):  176
19-Sep-2021 13:45:58 Power Supply OFF
19-Sep-2021 13:45:58 Get IV Data
19-Sep-2021 13:45:58 Volt1 (V):  7.99968
19-Sep-2021 13:45:58 Volt2 (V):  8.017133
19-Sep-2021 13:45:58 Curr1 (A):  0.4670609
19-Sep-2021 13:45:58 Curr2 (A):  0.004211881
19-Sep-2021 13:45:58 Time (Sec):  181
19-Sep-2021 13:46:01 Power Supply OFF
