Stock	Window Size	MAPE	RMSE	MAE
AAPL	3	0.03815116578295286	5.643804844558794	3.815752796684251
AAPL	15	0.016256283871584846	2.3923280008874914	1.6207851550826418
AAPL	30	0.014396086939692923	2.1413462516051043	1.4374960052325558
GOOGL	3	0.036003801926949214	4.412201137870578	3.086231788010805
GOOGL	15	0.01533243147885114	1.9241145918367235	1.3081979258397771
GOOGL	30	0.013797738503826908	1.7394741969694767	1.1826479028990344
MSFT	3	0.03539356696350694	10.150349277038552	6.883897062421664
MSFT	15	0.015105173280353736	4.355419602158759	2.933564483474319
MSFT	30	0.013728233100378653	4.00338210412089	2.6852501378585134
