19-Sep-2021 13:13:15 Volt2 (V):  6.986127
19-Sep-2021 13:13:15 Curr1 (A):  0.4674077
19-Sep-2021 13:13:15 Curr2 (A):  -0.002210131
19-Sep-2021 13:13:15 Time (Sec):  81
19-Sep-2021 13:13:20 Get IV Data
19-Sep-2021 13:13:20 Volt1 (V):  6.998725
19-Sep-2021 13:13:20 Volt2 (V):  6.98625
19-Sep-2021 13:13:20 Curr1 (A):  0.4477534
19-Sep-2021 13:13:20 Curr2 (A):  -0.002220601
19-Sep-2021 13:13:20 Time (Sec):  86
19-Sep-2021 13:13:24 Get IV Data
19-Sep-2021 13:13:24 Volt1 (V):  6.998734
19-Sep-2021 13:13:24 Volt2 (V):  6.986119
19-Sep-2021 13:13:24 Curr1 (A):  0.4451232
19-Sep-2021 13:13:24 Curr2 (A):  -0.002194477
19-Sep-2021 13:13:24 Time (Sec):  90
19-Sep-2021 13:13:29 Get IV Data
19-Sep-2021 13:13:29 Volt1 (V):  6.998839
19-Sep-2021 13:13:29 Volt2 (V):  6.986007
19-Sep-2021 13:13:29 Curr1 (A):  0.4490355
19-Sep-2021 13:13:29 Curr2 (A):  -0.002226584
19-Sep-2021 13:13:29 Time (Sec):  95
19-Sep-2021 13:13:33 Get IV Data
19-Sep-2021 13:13:33 Volt1 (V):  6.998682
19-Sep-2021 13:13:33 Volt2 (V):  6.986088
19-Sep-2021 13:13:33 Curr1 (A):  0.4546688
19-Sep-2021 13:13:33 Curr2 (A):  -0.00220714
19-Sep-2021 13:13:33 Time (Sec):  99
19-Sep-2021 13:13:38 Get IV Data
19-Sep-2021 13:13:38 Volt1 (V):  6.998596
19-Sep-2021 13:13:38 Volt2 (V):  6.986
19-Sep-2021 13:13:38 Curr1 (A):  0.4585717
19-Sep-2021 13:13:38 Curr2 (A):  -0.002183708
19-Sep-2021 13:13:38 Time (Sec):  104
19-Sep-2021 13:13:42 Get IV Data
19-Sep-2021 13:13:42 Volt1 (V):  6.998703
19-Sep-2021 13:13:42 Volt2 (V):  6.986029
19-Sep-2021 13:13:42 Curr1 (A):  0.4534179
19-Sep-2021 13:13:42 Curr2 (A):  -0.002183708
19-Sep-2021 13:13:42 Time (Sec):  108
19-Sep-2021 13:13:47 Get IV Data
19-Sep-2021 13:13:47 Volt1 (V):  6.998626
19-Sep-2021 13:13:47 Volt2 (V):  6.986187
19-Sep-2021 13:13:47 Curr1 (A):  0.4604194
19-Sep-2021 13:13:47 Curr2 (A):  -0.002175631
19-Sep-2021 13:13:47 Time (Sec):  113
19-Sep-2021 13:13:51 Get IV Data
19-Sep-2021 13:13:51 Volt1 (V):  6.998641
19-Sep-2021 13:13:51 Volt2 (V):  6.986032
19-Sep-2021 13:13:51 Curr1 (A):  0.465496
19-Sep-2021 13:13:51 Curr2 (A):  -0.002186799
19-Sep-2021 13:13:51 Time (Sec):  118
19-Sep-2021 13:13:56 Get IV Data
19-Sep-2021 13:13:56 Volt1 (V):  6.998413
19-Sep-2021 13:13:56 Volt2 (V):  6.986064
19-Sep-2021 13:13:56 Curr1 (A):  0.4537557
19-Sep-2021 13:13:56 Curr2 (A):  -0.002169549
19-Sep-2021 13:13:56 Time (Sec):  122
19-Sep-2021 13:14:00 Get IV Data
19-Sep-2021 13:14:00 Volt1 (V):  6.998693
19-Sep-2021 13:14:00 Volt2 (V):  6.986017
19-Sep-2021 13:14:00 Curr1 (A):  0.4600399
19-Sep-2021 13:14:00 Curr2 (A):  -0.002192084
19-Sep-2021 13:14:00 Time (Sec):  127
19-Sep-2021 13:14:05 Get IV Data
19-Sep-2021 13:14:05 Volt1 (V):  6.998758
19-Sep-2021 13:14:05 Volt2 (V):  6.986063
19-Sep-2021 13:14:05 Curr1 (A):  0.45407
19-Sep-2021 13:14:05 Curr2 (A):  -0.002206741
19-Sep-2021 13:14:05 Time (Sec):  131
19-Sep-2021 13:14:09 Get IV Data
19-Sep-2021 13:14:09 Volt1 (V):  6.998725
19-Sep-2021 13:14:09 Volt2 (V):  6.986048
19-Sep-2021 13:14:09 Curr1 (A):  0.4616057
19-Sep-2021 13:14:09 Curr2 (A):  -0.002192782
19-Sep-2021 13:14:09 Time (Sec):  136
19-Sep-2021 13:14:14 Get IV Data
19-Sep-2021 13:14:14 Volt1 (V):  6.998889
19-Sep-2021 13:14:14 Volt2 (V):  6.986062
19-Sep-2021 13:14:14 Curr1 (A):  0.4515946
19-Sep-2021 13:14:14 Curr2 (A):  -0.002206542
19-Sep-2021 13:14:14 Time (Sec):  140
19-Sep-2021 13:14:19 Get IV Data
19-Sep-2021 13:14:19 Volt1 (V):  6.998837
19-Sep-2021 13:14:19 Volt2 (V):  6.986039
19-Sep-2021 13:14:19 Curr1 (A):  0.4531434
19-Sep-2021 13:14:19 Curr2 (A):  -0.002197667
19-Sep-2021 13:14:19 Time (Sec):  145
19-Sep-2021 13:14:23 Get IV Data
19-Sep-2021 13:14:23 Volt1 (V):  6.998636
19-Sep-2021 13:14:23 Volt2 (V):  6.985942
19-Sep-2021 13:14:23 Curr1 (A):  0.4706907
19-Sep-2021 13:14:23 Curr2 (A):  -0.002177127
19-Sep-2021 13:14:23 Time (Sec):  149
19-Sep-2021 13:14:31 OUTP OFF
19-Sep-2021 13:14:31 Get IV Data
19-Sep-2021 13:14:31 Volt1 (V):  6.998857
19-Sep-2021 13:14:31 Volt2 (V):  6.986168
19-Sep-2021 13:14:31 Curr1 (A):  0.4607097
19-Sep-2021 13:14:31 Curr2 (A):  -0.002211527
19-Sep-2021 13:14:31 Time (Sec):  154
19-Sep-2021 13:14:33 Get IV Data
19-Sep-2021 13:14:33 Volt1 (V):  1.140193
19-Sep-2021 13:14:33 Volt2 (V):  -0.01098334
19-Sep-2021 13:14:33 Curr1 (A):  -0.1561174
19-Sep-2021 13:14:33 Curr2 (A):  -0.002199662
19-Sep-2021 13:14:33 Time (Sec):  159
19-Sep-2021 13:14:37 Get IV Data
19-Sep-2021 13:14:37 Volt1 (V):  1.140286
19-Sep-2021 13:14:37 Volt2 (V):  -0.01122128
19-Sep-2021 13:14:37 Curr1 (A):  -0.15621
19-Sep-2021 13:14:37 Curr2 (A):  -0.002207738
19-Sep-2021 13:14:37 Time (Sec):  164
19-Sep-2021 13:14:42 Get IV Data
19-Sep-2021 13:14:42 Volt1 (V):  1.137072
19-Sep-2021 13:14:42 Volt2 (V):  -0.01117116
19-Sep-2021 13:14:42 Curr1 (A):  -0.1562553
19-Sep-2021 13:14:42 Curr2 (A):  -0.00220016
19-Sep-2021 13:14:42 Time (Sec):  168
19-Sep-2021 13:14:49 Power Supply OFF
19-Sep-2021 13:14:49 Get IV Data
19-Sep-2021 13:14:49 Volt1 (V):  1.142036
19-Sep-2021 13:14:49 Volt2 (V):  -0.01126086
