Stock	Date	Original Price	ARIMA Prediction	GARCH Prediction	Final Prediction
AAPL	2022-01-10	172.19000244140625	170.2550350091974	171.92449051419783	169.99250674494692
AAPL	2022-01-11	175.0800018310547	169.67077505755157	172.48540041032473	169.9618512038213
AAPL	2022-01-12	175.52999877929688	167.54334609527595	168.19007274282515	163.65135703467882
AAPL	2022-01-13	172.19000244140625	166.16040263760019	166.46093647253056	160.63195211998263
AAPL	2022-01-14	173.07000732421875	154.91601120082396	169.03283581988015	152.07556952146666
AAPL	2022-01-18	169.8000030517578	151.7853592543568	170.68535172460133	150.4590107651042
AAPL	2022-01-19	166.22999572753906	152.86428598351955	172.0917408780435	152.7770527904764
AAPL	2022-01-20	164.50999450683594	152.66562901020922	172.72928283969165	153.1437611900675
AAPL	2022-01-21	162.41000366210938	155.7962467520946	175.29308354856417	158.6038916966787
AAPL	2022-01-24	161.6199951171875	156.47184416099333	177.06609780449455	160.9028309950107
AAPL	2022-01-25	159.77999877929688	157.21368093095398	174.6118294629783	159.4248681964223
AAPL	2022-01-26	159.69000244140625	154.67701461690717	169.9302975609471	152.64713831823175
AAPL	2022-01-27	159.22000122070312	153.98911188865353	173.3708825769366	155.04517020062866
AAPL	2022-01-28	170.3300018310547	157.90056035330946	169.70437859992535	155.6212096835112
AAPL	2022-01-31	174.77999877929688	160.70977219389988	170.17597922514182	158.83002768092084
AAPL	2022-02-01	174.61000061035156	159.9111702243329	162.96951450083728	151.34819330517368
AAPL	2022-02-02	175.83999633789062	156.2237787029605	162.17548581071281	147.1378526459994
AAPL	2022-02-03	172.89999389648438	156.60719460475477	158.13184739129258	143.82127095935533
AAPL	2022-02-04	172.38999938964844	159.77454865160396	156.87866654460512	145.56720938986626
AAPL	2022-02-07	171.66000366210938	160.69068968057715	158.58679236552416	147.99593866152713
AAPL	2022-02-08	174.8300018310547	159.71286331032752	161.3460165116444	149.6546484431286
AAPL	2022-02-09	176.27999877929688	160.13330618423643	161.22452525132454	149.93562866847512
AAPL	2022-02-10	172.1199951171875	161.66826744707936	156.53130013866104	146.96639605001118
AAPL	2022-02-11	168.63999938964844	156.831369105916	156.79943363495244	142.8135751398795
AAPL	2022-02-14	168.8800048828125	153.4530726923036	151.99121999963617	135.45222951682538
AAPL	2022-02-15	172.7899932861328	152.23777237187883	151.76354417633556	134.17819597585844
AAPL	2022-02-16	172.5500030517578	153.0523243388856	152.6979227279993	135.7266488406757
AAPL	2022-02-17	168.8800048828125	149.38767971877763	149.89899502597626	130.04856694120332
AAPL	2022-02-18	167.3000030517578	149.37942980308588	148.1106715806904	128.48996663441224
AAPL	2022-02-22	164.32000732421875	151.6030057404	149.3243167891785	131.47113615422896
AAPL	2022-02-23	160.07000732421875	154.21044350361137	153.20470500303733	137.207533366508
AAPL	2022-02-24	162.74000549316406	154.69599200315196	154.7091509701667	138.99114490946909
AAPL	2022-02-25	164.85000610351562	148.8369482164805	153.26356885212633	132.47738856661707
AAPL	2022-02-28	165.1199951171875	152.3653121720321	157.08702590167692	139.0011812551643
AAPL	2022-03-01	163.1999969482422	154.87797875303443	155.5070529183438	139.87233693216243
AAPL	2022-03-02	166.55999755859375	157.36759635945987	156.2167211651131	142.76932209972642
AAPL	2022-03-03	166.22999572753906	151.65410811072965	158.05719888065335	139.20682494259415
AAPL	2022-03-04	163.1699981689453	147.17432278374204	158.45021907894096	135.4306484536702
AAPL	2022-03-07	159.3000030517578	146.44338348043047	160.14715932178558	136.20124010302152
AAPL	2022-03-08	157.44000244140625	143.99539385190522	158.9021733451747	132.88333068319852
AAPL	2022-03-09	162.9499969482422	143.55929938954992	157.13321310769155	131.00606112277146
AAPL	2022-03-10	158.52000427246094	141.6627005587541	159.21877122433435	130.99111906314602
AAPL	2022-03-11	154.72999572753906	141.673021805179	158.95278578400152	130.78181756826322
AAPL	2022-03-14	150.6199951171875	139.89314830005176	160.4144295436873	130.3262632176311
AAPL	2022-03-15	155.08999633789062	140.77027173105915	157.43206477110104	128.70523388575313
AAPL	2022-03-16	159.58999633789062	141.3354173531712	159.42560181207264	130.858259187012
AAPL	2022-03-17	160.6199951171875	140.05106852967623	159.88839702762414	130.04553418736214
AAPL	2022-03-18	163.97999572753906	142.21613701559383	159.62547119546193	131.83876857448487
AAPL	2022-03-21	165.3800048828125	145.46525636182983	159.8794860947976	135.06539347248875
AAPL	2022-03-22	168.82000732421875	146.08870518038347	157.5216552315235	133.64384879705625
AAPL	2022-03-23	170.2100067138672	143.37228050393227	155.08336908844183	129.12861361976616
AAPL	2022-03-24	174.07000732421875	146.59611897114885	158.91517206719166	135.29442557856996
AAPL	2022-03-25	174.72000122070312	149.2482026511504	156.9294366202099	136.0208840614537
AAPL	2022-03-28	175.60000610351562	148.75521940830942	153.9096894413078	132.96282767460494
AAPL	2022-03-29	178.9600067138672	150.1744370271684	154.5270256471854	134.76978194448628
AAPL	2022-03-30	177.77000427246094	153.23103127294274	152.0149516657272	135.27735340251436
AAPL	2022-03-31	174.61000061035156	150.7309057246233	150.54912766866784	131.7870146222464
AAPL	2022-04-01	174.30999755859375	148.0701843752912	151.03380147789377	129.8774755482268
AAPL	2022-04-04	178.44000244140625	152.0742199505751	150.66209078681567	133.06126724938215
AAPL	2022-04-05	175.05999755859375	162.0351576205035	150.95177940729474	142.0494513186367
AAPL	2022-04-06	171.8300018310547	166.39549262367606	151.84223658083062	146.73246645400147
AAPL	2022-04-07	172.13999938964844	167.7888895380994	149.9672158098669	146.13410912994564
AAPL	2022-04-08	170.08999633789062	171.21464457395336	146.98406561966408	146.1514849659694
AAPL	2022-04-11	165.75	174.69121106070608	139.39831749174863	141.42319854339326
AAPL	2022-04-12	167.66000366210938	181.33201412957663	136.84947074513593	144.1151623842175
AAPL	2022-04-13	170.39999389648438	181.3075158035943	137.85700489655838	145.15657552432057
AAPL	2022-04-14	165.2899932861328	188.60740128081216	135.7805784138073	148.7265327599271
AAPL	2022-04-18	165.07000732421875	188.65586354116436	138.5071229335113	151.75202109957286
AAPL	2022-04-19	167.39999389648438	181.23088849700375	137.52970810142432	144.7507453426989
AAPL	2022-04-20	167.22999572753906	188.4162466859867	136.804493440246	149.69620081491144
AAPL	2022-04-21	166.4199981689453	187.92644699088993	135.4458467098831	147.82424281875845
AAPL	2022-04-22	161.7899932861328	186.26439022725083	135.51612922049912	146.59288470480752
AAPL	2022-04-25	162.8800048828125	179.96274833365143	136.80617737287102	142.98167907524535
AAPL	2022-04-26	156.8000030517578	190.67596572683598	138.7049798449578	153.59606021295232
AAPL	2022-04-27	156.57000732421875	189.5711075892161	139.91186741042566	154.03477143741497
AAPL	2022-04-28	163.63999938964844	194.9321675707144	145.47434069530203	164.68800833721747
AAPL	2022-04-29	157.64999389648438	190.89615661976717	148.04635207417513	164.1296196749512
AAPL	2022-05-02	157.9600067138672	199.46096937894606	148.2965755821779	171.7833689633913
AAPL	2022-05-03	159.47999572753906	202.13006357462328	146.23548078175776	171.66262040875836
AAPL	2022-05-04	166.02000427246094	194.034011290442	144.7989562602075	163.16813935465242
AAPL	2022-05-05	156.77000427246094	194.71211602529638	141.36627273211354	159.85670310705513
AAPL	2022-05-06	157.27999877929688	189.18708887420732	141.15776259641072	155.09161855490888
AAPL	2022-05-09	152.05999755859375	198.83381742045333	138.26540735503076	159.6599011080789
AAPL	2022-05-10	154.50999450683594	201.1935625873552	138.38636910933891	161.69606957355725
AAPL	2022-05-11	146.5	198.42657856076823	142.54491819518185	164.26447533340038
AAPL	2022-05-12	142.55999755859375	189.76105867038348	145.06138837526436	159.86411661532358
AAPL	2022-05-13	147.11000061035156	192.63522242442684	145.415692283242	162.6818272246466
AAPL	2022-05-16	145.5399932861328	191.53277466023587	148.573950072534	165.26383934112096
AAPL	2022-05-17	149.24000549316406	186.98337828427697	148.00201644854818	160.71732758033787
