Stock	Window Size	MAPE	RMSE	MAE
AAPL	3	0.036718213840203864	3.0421923521208396	1.3827670200083
AAPL	15	0.015399743768678606	1.287419776934459	0.5862085075788429
AAPL	30	0.013786007724539945	1.1490806707148586	0.5209592006851059
GOOGL	3	0.032108918486111214	2.4334678845504447	1.2539575943646173
GOOGL	15	0.013592586262764222	1.0619435607368513	0.5318916441290797
GOOGL	30	0.012262800956342877	0.9613079096745413	0.4816431299748106
MSFT	3	0.03004734547667605	5.497721852333376	2.6026872757575563
MSFT	15	0.01272105261037735	2.354878816889708	1.1027590478557778
MSFT	30	0.011563812399418548	2.1581248172155805	1.006760110264374
