03-Aug-2021 16:46:37 Time (Sec):  87
03-Aug-2021 16:49:17 Power Supply OFF
03-Aug-2021 16:49:20 Power Supply OFF
03-Aug-2021 16:53:22 Power Supply Connected to GPIB
03-Aug-2021 16:53:51 OUTP ON
03-Aug-2021 16:53:57 Power Supply  ON
03-Aug-2021 16:54:01 Get IV Data
03-Aug-2021 16:54:01 Volt1 (V):  6.999246
03-Aug-2021 16:54:01 Volt2 (V):  6.988161
03-Aug-2021 16:54:01 Curr1 (A):  0.4472967
03-Aug-2021 16:54:01 Curr2 (A):  0.1084728
03-Aug-2021 16:54:01 Time (Sec):  4
03-Aug-2021 16:54:06 Get IV Data
03-Aug-2021 16:54:06 Volt1 (V):  6.9992
03-Aug-2021 16:54:06 Volt2 (V):  6.987919
03-Aug-2021 16:54:06 Curr1 (A):  0.4417796
03-Aug-2021 16:54:06 Curr2 (A):  0.1083253
03-Aug-2021 16:54:06 Time (Sec):  8
03-Aug-2021 16:54:10 Get IV Data
03-Aug-2021 16:54:10 Volt1 (V):  6.999291
03-Aug-2021 16:54:10 Volt2 (V):  6.98795
03-Aug-2021 16:54:10 Curr1 (A):  0.4543476
03-Aug-2021 16:54:10 Curr2 (A):  0.1131687
03-Aug-2021 16:54:10 Time (Sec):  13
03-Aug-2021 16:54:48 Power Supply OFF
03-Aug-2021 16:54:50 Power Supply OFF
03-Aug-2021 19:43:05 Power Supply Connected to GPIB
03-Aug-2021 19:43:16 OUTP ON
03-Aug-2021 19:43:25 OUTP OFF
03-Aug-2021 20:26:45 Get IV Data
03-Aug-2021 20:26:45 Volt1 (V):  1.259852
03-Aug-2021 20:26:45 Volt2 (V):  -0.009140472
03-Aug-2021 20:26:45 Curr1 (A):  -0.1563136
03-Aug-2021 20:26:45 Curr2 (A):  -0.002396989
03-Aug-2021 20:26:45 Time (Sec):  6
03-Aug-2021 20:26:52 Get IV Data
03-Aug-2021 20:26:52 Volt1 (V):  1.260695
03-Aug-2021 20:26:52 Volt2 (V):  -0.00928871
03-Aug-2021 20:26:52 Curr1 (A):  -0.1563228
03-Aug-2021 20:26:52 Curr2 (A):  -0.002400279
03-Aug-2021 20:26:52 Time (Sec):  14
03-Aug-2021 20:26:59 Get IV Data
03-Aug-2021 20:26:59 Volt1 (V):  1.260502
03-Aug-2021 20:26:59 Volt2 (V):  -0.009305975
03-Aug-2021 20:26:59 Curr1 (A):  -0.1563184
03-Aug-2021 20:26:59 Curr2 (A):  -0.002412942
03-Aug-2021 20:26:59 Time (Sec):  21
03-Aug-2021 20:27:06 Get IV Data
03-Aug-2021 20:27:06 Volt1 (V):  1.258903
03-Aug-2021 20:27:06 Volt2 (V):  -0.009261757
03-Aug-2021 20:27:06 Curr1 (A):  -0.1563402
03-Aug-2021 20:27:06 Curr2 (A):  -0.002404567
03-Aug-2021 20:27:06 Time (Sec):  28
03-Aug-2021 20:27:11 Power Supply Connected to GPIB
