Stock	Date	Original Price	ARIMA Prediction	GARCH Prediction	Final Prediction
AAPL	2019-05-03	52.9375	53.330914439472195	53.53066112040184	53.928483742158804
AAPL	2019-05-06	52.119998931884766	53.247244389075775	54.93961409708362	55.26107312337992
AAPL	2019-05-07	50.71500015258789	53.623935938801566	53.80316728176248	54.50082825259703
AAPL	2019-05-08	50.724998474121094	53.85150180569963	53.61384594142917	54.53952531807083
AAPL	2019-05-09	50.18000030517578	54.621293600888016	54.72181530428947	56.46236297726871
AAPL	2019-05-10	49.29499816894531	53.7476374171449	54.99036494650192	55.83191870755249
AAPL	2019-05-13	46.43000030517578	53.87915478621165	54.009186805227706	54.969904807674766
AAPL	2019-05-14	47.165000915527344	54.39249915940179	54.32981569902029	55.82308297028411
AAPL	2019-05-15	47.72999954223633	53.687076035641475	54.94378332589209	55.72176761469618
AAPL	2019-05-16	47.52000045776367	53.584627827128585	54.81983129333837	55.489969443202156
AAPL	2019-05-17	47.25	53.42716583960932	53.89159919759864	54.390090346009146
AAPL	2019-05-20	45.772499084472656	53.19559604536768	54.41095911479121	54.67623898959056
AAPL	2019-05-21	46.650001525878906	53.37804094566627	54.91950253385967	55.37653752005637
AAPL	2019-05-22	45.69499969482422	54.36205332121254	55.541264558078694	57.03588543912815
AAPL	2019-05-23	44.915000915527344	54.076855748524025	56.73632909236275	57.957445743159155
AAPL	2019-05-24	44.74250030517578	53.64846109582663	56.841112891349155	57.60450028042571
AAPL	2019-05-28	44.557498931884766	54.00690169404936	56.72572891378025	57.871657425640116
AAPL	2019-05-29	44.345001220703125	53.70711755846692	57.82661869555625	58.66731538684071
AAPL	2019-05-30	44.57500076293945	53.37139680355566	57.42173683169102	57.892388223726634
AAPL	2019-05-31	43.76750183105469	53.6248258128038	57.09813718150887	57.8394835531332
AAPL	2019-06-03	43.32500076293945	53.93933890286879	55.95531678913682	57.01426768749251
AAPL	2019-06-04	44.90999984741211	53.49955584794071	55.31753162115116	55.90485709253372
AAPL	2019-06-05	45.6349983215332	54.200437342759294	55.16576777628881	56.48186521509235
AAPL	2019-06-06	46.30500030517578	53.26414082605899	55.904044329867425	56.24898965633631
AAPL	2019-06-07	47.537498474121094	53.0549072272303	55.08189181630602	55.20405497453509
AAPL	2019-06-10	48.14500045776367	53.26537320857969	54.880457497859766	55.22036458996166
AAPL	2019-06-11	48.70249938964844	53.736850806729116	56.05176833034394	56.898144268638234
AAPL	2019-06-12	48.54750061035156	53.66153363194259	56.318894291374846	57.089175728555944
AAPL	2019-06-13	48.537498474121094	53.344235419389754	56.17570889398355	56.60732448815613
AAPL	2019-06-14	48.185001373291016	53.636572213489245	55.303615638006555	56.03393386229028
AAPL	2019-06-17	48.47249984741211	52.896330522020804	55.22207217602342	55.17912598694353
AAPL	2019-06-18	49.61249923706055	53.97379431990567	55.184535816536005	56.264817677472145
AAPL	2019-06-19	49.467498779296875	54.91030065043173	55.40792327982913	57.47278820706442
AAPL	2019-06-20	49.8650016784668	57.06253906383958	55.297497094354846	59.60643377717458
AAPL	2019-06-21	49.69499969482422	55.74316863085372	55.151126252929615	58.07411628615932
AAPL	2019-06-24	49.64500045776367	54.93263571306541	54.35631266213306	56.40492131616415
AAPL	2019-06-25	48.89250183105469	53.837779905664455	52.92698060878962	53.8270816167629
AAPL	2019-06-26	49.95000076293945	54.336331277591874	52.75196652167992	54.145895224867736
AAPL	2019-06-27	49.935001373291016	54.40213095455148	52.270784698186425	53.71696952534411
AAPL	2019-06-28	49.47999954223633	52.6350690510263	54.3283479459313	54.01797110861444
AAPL	2019-07-01	50.38750076293945	54.06939183406374	56.29559170786614	57.49928513025896
AAPL	2019-07-02	50.682498931884766	54.32074560244384	57.397064612967675	58.896837689124894
AAPL	2019-07-03	51.102500915527344	53.30613989095239	56.57261424504942	56.96656791392662
AAPL	2019-07-05	51.057498931884766	52.65965797167306	58.04306138275998	57.73842285799226
AAPL	2019-07-08	50.005001068115234	52.8929677211596	59.56379442265133	59.51368794799684
AAPL	2019-07-09	50.310001373291016	52.675665222305426	58.66075173387267	58.37060911494214
AAPL	2019-07-10	50.807498931884766	52.95044279413772	57.509926393066706	57.523987108782045
AAPL	2019-07-11	50.4375	55.11546178545986	58.05484095027451	60.44334106929501
AAPL	2019-07-12	50.82500076293945	54.19320414118883	58.063239180761194	59.44052843488387
AAPL	2019-07-15	51.3025016784668	54.59376520918224	58.403320345099125	60.23059567144269
AAPL	2019-07-16	51.125	54.22735022579645	59.50860852751982	60.95856729297067
AAPL	2019-07-17	50.837501525878906	53.48306224331237	60.238023371801226	60.85882320487652
AAPL	2019-07-18	51.415000915527344	53.61441986029845	61.18261500441135	61.96496640373093
AAPL	2019-07-19	50.647499084472656	54.497041226547296	60.71258358262885	62.501179135258056
AAPL	2019-07-22	51.80500030517578	55.813104101646374	58.559129596995454	61.74010477069958
AAPL	2019-07-23	52.209999084472656	55.56514586609819	59.61643250911797	62.575598930541446
AAPL	2019-07-24	52.16749954223633	55.20592824279372	58.2903651684451	60.78816938343183
AAPL	2019-07-25	51.755001068115234	55.74096567712787	56.91182276747331	59.92576074624821
AAPL	2019-07-26	51.935001373291016	56.02064391152094	56.14068691254145	59.410388297061054
AAPL	2019-07-29	52.41999816894531	55.9165157873019	56.48272125558537	59.6612415546203
AAPL	2019-07-30	52.19499969482422	54.99436755240461	56.63555146852196	58.83610548274901
AAPL	2019-07-31	53.2599983215332	55.63834329395985	57.80910868108943	60.758498877285255
AAPL	2019-08-01	52.10749816894531	56.973719678195955	58.477606884043816	62.936232010639976
