model,mae,rmse,mape,r2
y_pred_7,0.10605776154597468,0.20686296630213385,3542667734521.615,-1.7967441684888046
y_pred_14,0.10304870820692705,0.19912994480651727,3319995593837.684,-1.5915547723792556
y_pred_28,0.09849399411474129,0.19071338851264405,3304573125422.0845,-1.3771118141600662
y_pred_60,0.05501653129911618,0.12337261242188738,2978017069482.4434,0.0052252174582834154
naive_forecast,420065.391910786,2190520.484973803,2.628601684025048e+19,-297931133944313.2
