model,mae,rmse,mape,r2
y_pred_7,0.06581333070080764,0.1362546628312547,1574927821340.977,-0.21336088940483888
y_pred_14,0.06542779729223813,0.13388063241317288,1572192272480.3337,-0.17144729983668117
y_pred_28,0.06567288419188076,0.13512078833033075,1647377064430.7642,-0.19325039291650103
y_pred_60,0.06657721245896375,0.13785909752625103,2118140823676.673,-0.2421044210363954
naive_forecast,420065.391910786,2190520.484973803,2.628601684025048e+19,-297931133944313.2
