03-Aug-2021 16:48:23 Time (Sec):  85
03-Aug-2021 16:48:28 Get IV Data
03-Aug-2021 16:48:28 Volt1 (V):  6.999365
03-Aug-2021 16:48:28 Volt2 (V):  6.987973
03-Aug-2021 16:48:28 Curr1 (A):  0.4451634
03-Aug-2021 16:48:28 Curr2 (A):  0.1093891
03-Aug-2021 16:48:28 Time (Sec):  90
03-Aug-2021 16:48:32 Get IV Data
03-Aug-2021 16:48:32 Volt1 (V):  6.999169
03-Aug-2021 16:48:32 Volt2 (V):  6.988092
03-Aug-2021 16:48:32 Curr1 (A):  0.4440361
03-Aug-2021 16:48:32 Curr2 (A):  0.1093608
03-Aug-2021 16:48:32 Time (Sec):  94
03-Aug-2021 16:48:37 Get IV Data
03-Aug-2021 16:48:37 Volt1 (V):  6.999117
03-Aug-2021 16:48:37 Volt2 (V):  6.987988
03-Aug-2021 16:48:37 Curr1 (A):  0.4474121
03-Aug-2021 16:48:37 Curr2 (A):  0.1088248
03-Aug-2021 16:48:37 Time (Sec):  99
03-Aug-2021 16:48:41 Get IV Data
03-Aug-2021 16:48:41 Volt1 (V):  6.999224
03-Aug-2021 16:48:41 Volt2 (V):  6.988013
03-Aug-2021 16:48:41 Curr1 (A):  0.4397799
03-Aug-2021 16:48:41 Curr2 (A):  0.1081847
03-Aug-2021 16:48:41 Time (Sec):  103
03-Aug-2021 16:48:46 Get IV Data
03-Aug-2021 16:48:46 Volt1 (V):  6.999284
03-Aug-2021 16:48:46 Volt2 (V):  6.987999
03-Aug-2021 16:48:46 Curr1 (A):  0.4566372
03-Aug-2021 16:48:46 Curr2 (A):  0.1085072
03-Aug-2021 16:48:46 Time (Sec):  108
03-Aug-2021 16:48:50 Get IV Data
03-Aug-2021 16:48:50 Volt1 (V):  6.999278
03-Aug-2021 16:48:50 Volt2 (V):  6.988034
03-Aug-2021 16:48:50 Curr1 (A):  0.4464412
03-Aug-2021 16:48:50 Curr2 (A):  0.1105413
03-Aug-2021 16:48:50 Time (Sec):  112
03-Aug-2021 16:48:55 Get IV Data
03-Aug-2021 16:48:55 Volt1 (V):  6.99927
03-Aug-2021 16:48:55 Volt2 (V):  6.987943
03-Aug-2021 16:48:55 Curr1 (A):  0.4447632
03-Aug-2021 16:48:55 Curr2 (A):  0.1096729
03-Aug-2021 16:48:55 Time (Sec):  117
03-Aug-2021 16:48:59 Get IV Data
03-Aug-2021 16:48:59 Volt1 (V):  6.999149
03-Aug-2021 16:48:59 Volt2 (V):  6.988019
03-Aug-2021 16:48:59 Curr1 (A):  0.4565191
03-Aug-2021 16:48:59 Curr2 (A):  0.1114253
03-Aug-2021 16:48:59 Time (Sec):  121
03-Aug-2021 16:49:04 Get IV Data
03-Aug-2021 16:49:04 Volt1 (V):  6.999211
03-Aug-2021 16:49:04 Volt2 (V):  6.988052
03-Aug-2021 16:49:04 Curr1 (A):  0.4498134
03-Aug-2021 16:49:04 Curr2 (A):  0.111171
03-Aug-2021 16:49:04 Time (Sec):  126
03-Aug-2021 16:49:08 Get IV Data
03-Aug-2021 16:49:08 Volt1 (V):  6.999144
03-Aug-2021 16:49:08 Volt2 (V):  6.98807
03-Aug-2021 16:49:08 Curr1 (A):  0.4465265
03-Aug-2021 16:49:08 Curr2 (A):  0.1093862
03-Aug-2021 16:49:08 Time (Sec):  130
03-Aug-2021 16:49:22 Power Supply OFF
03-Aug-2021 16:49:25 Power Supply OFF
03-Aug-2021 16:53:07 Power Supply Connected to GPIB
03-Aug-2021 16:53:42 OUTP ON
03-Aug-2021 16:54:12 Power Supply  ON
03-Aug-2021 16:54:21 Get IV Data
03-Aug-2021 16:54:21 Volt1 (V):  6.999171
03-Aug-2021 16:54:21 Volt2 (V):  6.987957
03-Aug-2021 16:54:21 Curr1 (A):  0.4348145
03-Aug-2021 16:54:21 Curr2 (A):  0.1085825
03-Aug-2021 16:54:21 Time (Sec):  9
03-Aug-2021 16:54:26 Get IV Data
03-Aug-2021 16:54:26 Volt1 (V):  6.999103
03-Aug-2021 16:54:26 Volt2 (V):  6.987995
03-Aug-2021 16:54:26 Curr1 (A):  0.4365768
03-Aug-2021 16:54:26 Curr2 (A):  0.1120679
03-Aug-2021 16:54:26 Time (Sec):  13
03-Aug-2021 16:54:30 Get IV Data
03-Aug-2021 16:54:30 Volt1 (V):  6.999102
03-Aug-2021 16:54:30 Volt2 (V):  6.987915
03-Aug-2021 16:54:30 Curr1 (A):  0.4363293
03-Aug-2021 16:54:30 Curr2 (A):  0.1089255
03-Aug-2021 16:54:30 Time (Sec):  18
03-Aug-2021 16:54:37 Power Supply OFF
03-Aug-2021 16:54:37 Get IV Data
03-Aug-2021 16:54:37 Volt1 (V):  6.999095
03-Aug-2021 16:54:37 Volt2 (V):  6.98799
03-Aug-2021 16:54:37 Curr1 (A):  0.4495883
03-Aug-2021 16:54:37 Curr2 (A):  0.1087072
03-Aug-2021 16:54:37 Time (Sec):  22
03-Aug-2021 16:54:40 Power Supply OFF
03-Aug-2021 18:49:47 Power Supply Connected to GPIB
03-Aug-2021 18:52:36 Power Supply Connected to GPIB
03-Aug-2021 18:52:46 OUTP ON
03-Aug-2021 18:52:46 Power Supply  ON
03-Aug-2021 18:52:51 Get IV Data
03-Aug-2021 18:52:51 Volt1 (V):  6.999112
03-Aug-2021 18:52:51 Volt2 (V):  6.98841
03-Aug-2021 18:52:51 Curr1 (A):  0.472509
03-Aug-2021 18:52:51 Curr2 (A):  0.1002697
03-Aug-2021 18:52:51 Time (Sec):  4
03-Aug-2021 18:52:55 Get IV Data
03-Aug-2021 18:52:55 Volt1 (V):  6.999104
03-Aug-2021 18:52:55 Volt2 (V):  6.988398
03-Aug-2021 18:52:55 Curr1 (A):  0.4876534
03-Aug-2021 18:52:55 Curr2 (A):  0.1021746
03-Aug-2021 18:52:55 Time (Sec):  9
03-Aug-2021 18:53:00 Get IV Data
03-Aug-2021 18:53:00 Volt1 (V):  6.999177
03-Aug-2021 18:53:00 Volt2 (V):  6.988364
03-Aug-2021 18:53:00 Curr1 (A):  0.4481248
03-Aug-2021 18:53:00 Curr2 (A):  0.1021297
03-Aug-2021 18:53:00 Time (Sec):  13
03-Aug-2021 18:53:04 Get IV Data
03-Aug-2021 18:53:04 Volt1 (V):  6.999139
