04-Aug-2021 11:38:32 Volt1 (V):  6.997311
04-Aug-2021 11:38:32 Volt2 (V):  7.033043
04-Aug-2021 11:38:32 Curr1 (A):  0.4603663
04-Aug-2021 11:38:32 Curr2 (A):  0.1117902
04-Aug-2021 11:38:32 Time (Sec):  140
04-Aug-2021 11:38:39 Get IV Data
04-Aug-2021 11:38:39 Volt1 (V):  6.997307
04-Aug-2021 11:38:39 Volt2 (V):  7.033054
04-Aug-2021 11:38:39 Curr1 (A):  0.4754412
04-Aug-2021 11:38:39 Curr2 (A):  0.1096154
04-Aug-2021 11:38:39 Time (Sec):  147
04-Aug-2021 11:38:46 Get IV Data
04-Aug-2021 11:38:46 Volt1 (V):  6.997237
04-Aug-2021 11:38:46 Volt2 (V):  7.033134
04-Aug-2021 11:38:46 Curr1 (A):  0.4815659
04-Aug-2021 11:38:46 Curr2 (A):  0.1095869
04-Aug-2021 11:38:46 Time (Sec):  154
04-Aug-2021 11:38:53 Get IV Data
04-Aug-2021 11:38:53 Volt1 (V):  6.997208
04-Aug-2021 11:38:53 Volt2 (V):  7.033161
04-Aug-2021 11:38:53 Curr1 (A):  0.461313
04-Aug-2021 11:38:53 Curr2 (A):  0.1097245
04-Aug-2021 11:38:53 Time (Sec):  161
04-Aug-2021 11:39:00 Get IV Data
04-Aug-2021 11:39:00 Volt1 (V):  6.997388
04-Aug-2021 11:39:00 Volt2 (V):  7.032975
04-Aug-2021 11:39:00 Curr1 (A):  0.4748914
04-Aug-2021 11:39:00 Curr2 (A):  0.1112522
04-Aug-2021 11:39:00 Time (Sec):  169
04-Aug-2021 11:39:07 Get IV Data
04-Aug-2021 11:39:07 Volt1 (V):  6.997318
04-Aug-2021 11:39:07 Volt2 (V):  7.033002
04-Aug-2021 11:39:07 Curr1 (A):  0.4710188
04-Aug-2021 11:39:07 Curr2 (A):  0.1029505
04-Aug-2021 11:39:07 Time (Sec):  176
04-Aug-2021 11:39:14 Get IV Data
04-Aug-2021 11:39:14 Volt1 (V):  6.997202
04-Aug-2021 11:39:14 Volt2 (V):  7.032987
04-Aug-2021 11:39:14 Curr1 (A):  0.4812675
04-Aug-2021 11:39:14 Curr2 (A):  0.1041416
04-Aug-2021 11:39:14 Time (Sec):  183
04-Aug-2021 11:39:21 Get IV Data
04-Aug-2021 11:39:21 Volt1 (V):  6.997396
04-Aug-2021 11:39:21 Volt2 (V):  7.033011
04-Aug-2021 11:39:21 Curr1 (A):  0.4632426
04-Aug-2021 11:39:21 Curr2 (A):  0.1026589
04-Aug-2021 11:39:21 Time (Sec):  190
04-Aug-2021 11:39:28 Get IV Data
04-Aug-2021 11:39:28 Volt1 (V):  6.997188
04-Aug-2021 11:39:28 Volt2 (V):  7.033014
04-Aug-2021 11:39:28 Curr1 (A):  0.4752652
04-Aug-2021 11:39:28 Curr2 (A):  0.1035118
04-Aug-2021 11:39:28 Time (Sec):  197
04-Aug-2021 11:39:35 Get IV Data
04-Aug-2021 11:39:35 Volt1 (V):  6.997407
04-Aug-2021 11:39:35 Volt2 (V):  7.032985
04-Aug-2021 11:39:35 Curr1 (A):  0.4745568
04-Aug-2021 11:39:35 Curr2 (A):  0.1027466
04-Aug-2021 11:39:35 Time (Sec):  204
04-Aug-2021 11:39:42 Get IV Data
04-Aug-2021 11:39:42 Volt1 (V):  6.997217
04-Aug-2021 11:39:42 Volt2 (V):  7.03303
04-Aug-2021 11:39:42 Curr1 (A):  0.4531323
04-Aug-2021 11:39:42 Curr2 (A):  0.1020932
04-Aug-2021 11:39:42 Time (Sec):  211
04-Aug-2021 11:39:49 Get IV Data
04-Aug-2021 11:39:49 Volt1 (V):  6.997312
04-Aug-2021 11:39:49 Volt2 (V):  7.033074
04-Aug-2021 11:39:49 Curr1 (A):  0.4795622
04-Aug-2021 11:39:49 Curr2 (A):  0.1003618
04-Aug-2021 11:39:49 Time (Sec):  218
04-Aug-2021 11:39:56 Get IV Data
04-Aug-2021 11:39:56 Volt1 (V):  6.997208
04-Aug-2021 11:39:56 Volt2 (V):  7.03312
04-Aug-2021 11:39:56 Curr1 (A):  0.4821535
04-Aug-2021 11:39:56 Curr2 (A):  0.104573
04-Aug-2021 11:39:56 Time (Sec):  225
04-Aug-2021 11:40:04 Get IV Data
04-Aug-2021 11:40:04 Volt1 (V):  6.997208
04-Aug-2021 11:40:04 Volt2 (V):  7.033031
04-Aug-2021 11:40:04 Curr1 (A):  0.4747956
04-Aug-2021 11:40:04 Curr2 (A):  0.1000624
04-Aug-2021 11:40:04 Time (Sec):  232
04-Aug-2021 11:40:11 Get IV Data
04-Aug-2021 11:40:11 Volt1 (V):  6.99719
04-Aug-2021 11:40:11 Volt2 (V):  7.032987
04-Aug-2021 11:40:11 Curr1 (A):  0.4641547
04-Aug-2021 11:40:11 Curr2 (A):  0.1023167
04-Aug-2021 11:40:11 Time (Sec):  239
04-Aug-2021 11:40:18 Get IV Data
04-Aug-2021 11:40:18 Volt1 (V):  6.997241
04-Aug-2021 11:40:18 Volt2 (V):  7.033107
04-Aug-2021 11:40:18 Curr1 (A):  0.4689489
04-Aug-2021 11:40:18 Curr2 (A):  0.1014375
04-Aug-2021 11:40:18 Time (Sec):  246
04-Aug-2021 11:40:25 Get IV Data
04-Aug-2021 11:40:25 Volt1 (V):  6.99718
04-Aug-2021 11:40:25 Volt2 (V):  7.033142
04-Aug-2021 11:40:25 Curr1 (A):  0.4660969
04-Aug-2021 11:40:25 Curr2 (A):  0.1040362
04-Aug-2021 11:40:25 Time (Sec):  253
04-Aug-2021 11:40:32 Get IV Data
04-Aug-2021 11:40:32 Volt1 (V):  6.997113
04-Aug-2021 11:40:32 Volt2 (V):  7.033141
04-Aug-2021 11:40:32 Curr1 (A):  0.466253
04-Aug-2021 11:40:32 Curr2 (A):  0.1003648
04-Aug-2021 11:40:32 Time (Sec):  260
04-Aug-2021 11:40:39 Get IV Data
04-Aug-2021 11:40:39 Volt1 (V):  6.997118
04-Aug-2021 11:40:39 Volt2 (V):  7.033164
04-Aug-2021 11:40:39 Curr1 (A):  0.4622148
04-Aug-2021 11:40:39 Curr2 (A):  0.1030005
04-Aug-2021 11:40:39 Time (Sec):  267
04-Aug-2021 11:40:46 Get IV Data
04-Aug-2021 11:40:46 Volt1 (V):  6.997045
04-Aug-2021 11:40:46 Volt2 (V):  7.033196
04-Aug-2021 11:40:46 Curr1 (A):  0.4773596
04-Aug-2021 11:40:46 Curr2 (A):  0.1022798
04-Aug-2021 11:40:46 Time (Sec):  274
04-Aug-2021 11:40:53 Get IV Data
04-Aug-2021 11:40:53 Volt1 (V):  6.997107
04-Aug-2021 11:40:53 Volt2 (V):  7.033168
04-Aug-2021 11:40:53 Curr1 (A):  0.4604267
04-Aug-2021 11:40:53 Curr2 (A):  0.1009512
04-Aug-2021 11:40:53 Time (Sec):  282
04-Aug-2021 11:41:00 Get IV Data
